ID,Frota,Origem,Destino,Expressao,Param_1,Param_2,Param_3
29,CAT_785,Mina_1#Regiao_5,MARES 1,CONT,"[0, 0.03, 0.09, 0.29, 0.47, 0.65, 0.71, 0.74, 1]","[0.001, 9.2, 16, 17.6, 18.8, 20, 21.6, 22.7, 24.8]",nan
30,CAT_785,Mina_1#Regiao_6,MARES 1,NORM,7.84,0.392,nan
31,CAT_785,Mina_1#Regiao_1,PONTO_3,NORM,16.725,0.83625,nan
32,CAT_785,Mina_1#Regiao_2,PONTO_3,NORM,16.725,0.83625,nan
33,CAT_785,Mina_1#Regiao_3,PONTO_3,NORM,16.225,0.81125,nan
34,CAT_785,Mina_1#Regiao_4,PONTO_3,NORM,12.22,0.611,nan
35,CAT_785,Mina_1#Regiao_5,PONTO_3,NORM,12.22,0.611,nan
36,CAT_785,Mina_1#Regiao_6,PONTO_3,NORM,7.84,0.392,nan
37,CAT_775,Mina_1#Regiao_1,BRIT_PRIM,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.77, 0.92, 0.99, 0.99, 1]","[0.001, 5.3, 6.2, 6.7, 7.2, 8, 9.7, 20.7, 30.6, 166.4]",nan
38,CAT_775,Mina_1#Regiao_2,BRIT_PRIM,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.77, 0.92, 0.99, 0.99, 1]","[0.001, 5.3, 6.2, 6.7, 7.2, 8, 9.7, 20.7, 30.6, 166.4]",nan
39,CAT_775,Mina_1#Regiao_3,BRIT_PRIM,NORM,7.905,0.39525,nan
40,CAT_775,Mina_1#Regiao_4,BRIT_PRIM,NORM,8.86,0.443,nan
41,CAT_775,Mina_1#Regiao_5,BRIT_PRIM,CONT,"[0, 0.04, 0.19, 0.34, 0.5, 0.65, 0.8, 0.95, 0.98, 0.99, 0.99, 0.99, 0.99, 1]","[0.001, 4.1, 7.8, 8.7, 9.3, 9.9, 10.8, 13.4, 17.3, 21, 25.6, 27.8, 32.9, 58.5]",nan
42,CAT_775,Mina_1#Regiao_6,BRIT_PRIM,NORM,21.37,1.0685,nan
43,CAT_775,Mina_1#Regiao_1,BRIT_SECO,CONT,"[0, 0.04, 0.19, 0.35, 0.51, 0.66, 0.82, 0.94, 1]","[0.001, 6.9, 11, 11.9, 12.8, 14.4, 15.9, 22.2, 82]",nan
44,CAT_775,Mina_1#Regiao_2,BRIT_SECO,CONT,"[0, 0.04, 0.19, 0.35, 0.51, 0.66, 0.82, 0.94, 1]","[0.001, 6.9, 11, 11.9, 12.8, 14.4, 15.9, 22.2, 82]",nan
45,CAT_775,Mina_1#Regiao_3,BRIT_SECO,NORM,12.38,0.619,nan
46,CAT_775,Mina_1#Regiao_4,BRIT_SECO,NORM,12.975,0.64875,nan
47,CAT_775,Mina_1#Regiao_5,BRIT_SECO,CONT,"[0, 0.01, 0.02, 0.11, 0.26, 0.41, 0.56, 0.71, 0.86, 0.94, 0.95, 0.95, 1]","[0.001, 4.6, 7.8, 10.9, 12.9, 14.1, 15.2, 16.5, 18.1, 20.8, 23.4, 28.6, 37.7]",nan
48,CAT_775,Mina_1#Regiao_6,BRIT_SECO,NORM,22.95,1.1475,nan
49,CAT_775,Mina_1#Regiao_1,BARNABE,CONT,"[0, 0.04, 0.07, 0.07, 0.22, 0.38, 0.53, 0.68, 0.83, 0.89, 0.93, 1]","[0.001, 2.9, 5.8, 11.1, 14, 15.1, 16.4, 17, 18.9, 21.3, 24.4, 31.4]",nan
50,CAT_775,Mina_1#Regiao_2,BARNABE,CONT,"[0, 0.04, 0.07, 0.07, 0.22, 0.38, 0.53, 0.68, 0.83, 0.89, 0.93, 1]","[0.001, 2.9, 5.8, 11.1, 14, 15.1, 16.4, 17, 18.9, 21.3, 24.4, 31.4]",nan
51,CAT_775,Mina_1#Regiao_3,BARNABE,CONT,"[0, 0.03, 0.05, 0.09, 0.25, 0.41, 0.57, 0.74, 0.84, 0.86, 1]","[0.001, 1.3, 10.5, 12.8, 15.2, 16.2, 17.1, 18.4, 20.8, 23.4, 27.5]",nan
52,CAT_775,Mina_1#Regiao_4,BARNABE,CONT,"[0, 0.03, 0.05, 0.09, 0.25, 0.41, 0.57, 0.74, 0.84, 0.86, 1]","[0.001, 1.3, 10.5, 12.8, 15.2, 16.2, 17.1, 18.4, 20.8, 23.4, 27.5]",nan
53,CAT_775,Mina_1#Regiao_5,BARNABE,CONT,"[0, 0.03, 0.05, 0.09, 0.25, 0.41, 0.57, 0.74, 0.84, 0.86, 1]","[0.001, 1.3, 10.5, 12.8, 15.2, 16.2, 17.1, 18.4, 20.8, 23.4, 27.5]",nan
54,CAT_775,Mina_1#Regiao_6,BARNABE,NORM,7.345,0.36725,nan
55,CAT_775,Mina_1#Regiao_1,AMP. BARNABE,CONT,"[0, 0.04, 0.07, 0.07, 0.22, 0.38, 0.53, 0.68, 0.83, 0.89, 0.93, 1]","[0.001, 2.9, 5.8, 11.1, 14, 15.1, 16.4, 17, 18.9, 21.3, 24.4, 31.4]",nan
56,CAT_775,Mina_1#Regiao_2,AMP. BARNABE,CONT,"[0, 0.04, 0.07, 0.07, 0.22, 0.38, 0.53, 0.68, 0.83, 0.89, 0.93, 1]","[0.001, 2.9, 5.8, 11.1, 14, 15.1, 16.4, 17, 18.9, 21.3, 24.4, 31.4]",nan
57,CAT_775,Mina_1#Regiao_3,AMP. BARNABE,CONT,"[0, 0.03, 0.05, 0.09, 0.25, 0.41, 0.57, 0.74, 0.84, 0.86, 1]","[0.001, 1.3, 10.5, 12.8, 15.2, 16.2, 17.1, 18.4, 20.8, 23.4, 27.5]",nan
58,CAT_775,Mina_1#Regiao_4,AMP. BARNABE,CONT,"[0, 0.03, 0.05, 0.09, 0.25, 0.41, 0.57, 0.74, 0.84, 0.86, 1]","[0.001, 1.3, 10.5, 12.8, 15.2, 16.2, 17.1, 18.4, 20.8, 23.4, 27.5]",nan
59,CAT_775,Mina_1#Regiao_5,AMP. BARNABE,CONT,"[0, 0.03, 0.05, 0.09, 0.25, 0.41, 0.57, 0.74, 0.84, 0.86, 1]","[0.001, 1.3, 10.5, 12.8, 15.2, 16.2, 17.1, 18.4, 20.8, 23.4, 27.5]",nan
60,CAT_775,Mina_1#Regiao_6,AMP. BARNABE,NORM,7.345,0.36725,nan
61,CAT_775,Mina_1#Regiao_1,MARES 1,CONT,"[0, 0.04, 0.07, 0.07, 0.22, 0.38, 0.53, 0.68, 0.83, 0.89, 0.93, 1]","[0.001, 2.9, 5.8, 11.1, 14, 15.1, 16.4, 17, 18.9, 21.3, 24.4, 31.4]",nan
62,CAT_775,Mina_1#Regiao_2,MARES 1,CONT,"[0, 0.04, 0.07, 0.07, 0.22, 0.38, 0.53, 0.68, 0.83, 0.89, 0.93, 1]","[0.001, 2.9, 5.8, 11.1, 14, 15.1, 16.4, 17, 18.9, 21.3, 24.4, 31.4]",nan
63,CAT_775,Mina_1#Regiao_3,MARES 1,CONT,"[0, 0.03, 0.05, 0.09, 0.25, 0.41, 0.57, 0.74, 0.84, 0.86, 1]","[0.001, 1.3, 10.5, 12.8, 15.2, 16.2, 17.1, 18.4, 20.8, 23.4, 27.5]",nan
64,CAT_775,Mina_1#Regiao_4,MARES 1,CONT,"[0, 0.03, 0.05, 0.09, 0.25, 0.41, 0.57, 0.74, 0.84, 0.86, 1]","[0.001, 1.3, 10.5, 12.8, 15.2, 16.2, 17.1, 18.4, 20.8, 23.4, 27.5]",nan
65,CAT_775,Mina_1#Regiao_5,MARES 1,CONT,"[0, 0.03, 0.05, 0.09, 0.25, 0.41, 0.57, 0.74, 0.84, 0.86, 1]","[0.001, 1.3, 10.5, 12.8, 15.2, 16.2, 17.1, 18.4, 20.8, 23.4, 27.5]",nan
66,CAT_775,Mina_1#Regiao_6,MARES 1,NORM,7.345,0.36725,nan
67,CAT_775,Mina_1#Regiao_1,PONTO_3,NORM,15.385,0.76925,nan
68,CAT_775,Mina_1#Regiao_2,PONTO_3,NORM,15.385,0.76925,nan
69,CAT_775,Mina_1#Regiao_3,PONTO_3,NORM,15.55,0.7775,nan
70,CAT_775,Mina_1#Regiao_4,PONTO_3,NORM,11.885,0.59425,nan
71,CAT_775,Mina_1#Regiao_5,PONTO_3,NORM,11.885,0.59425,nan
72,CAT_775,Mina_1#Regiao_6,PONTO_3,NORM,7.345,0.36725,nan
73,CAT_785,Mina_2#Regiao_1,BRIT_PRIM,CONT,"[0, 0.15, 0.3, 0.45, 0.61, 0.76, 0.91, 0.99, 0.99, 0.99, 1]","[0.001, 5.1, 8.8, 9.6, 10.3, 11.2, 13.3, 26, 36.2, 49.7, 181.7]",nan
74,CAT_785,Mina_3#Regiao_1,BRIT_PRIM,CONT,"[0, 0.03, 0.17, 0.33, 0.48, 0.64, 0.79, 0.93, 0.94, 1]","[0.001, 2.8, 8.6, 9.6, 10.1, 10.8, 11.7, 14.7, 18.1, 49.8]",nan
75,CAT_785,Mina_2#Regiao_1,BRIT_SECO,CONT,"[0, 0.02, 0.17, 0.33, 0.49, 0.64, 0.8, 0.94, 0.95, 0.97, 1]","[0.001, 3.8, 7, 7.5, 8, 8.4, 9, 11.4, 12.5, 16.1, 31.2]",nan
76,CAT_785,Mina_3#Regiao_1,BRIT_SECO,CONT,"[0, 0.15, 0.31, 0.46, 0.54, 1]","[0.001, 4.5, 7.4, 8.4, 9.2, 17.2]",nan
77,CAT_785,Mina_2#Regiao_1,BARNABE,CONT,"[0, 0.02, 0.05, 0.2, 0.36, 0.51, 0.66, 0.81, 0.94, 0.97, 0.98, 0.99, 0.99, 0.99, 0.99, 0.99, 1]","[0.001, 1.9, 3.8, 5.4, 5.9, 6.4, 7, 7.9, 9.8, 11.7, 13.6, 15.5, 16.6, 18.8, 21.5, 26.2, 27.8]",nan
78,CAT_785,Mina_3#Regiao_1,BARNABE,CONT,"[0, 0.17, 0.34, 0.51, 0.69, 0.8, 1]","[0.001, 11.4, 12.8, 15.6, 18.2, 23.1, 61.1]",nan
79,CAT_785,Mina_2#Regiao_1,AMP. BARNABE,CONT,"[0, 0.02, 0.05, 0.2, 0.36, 0.51, 0.66, 0.81, 0.94, 0.97, 0.98, 0.99, 0.99, 0.99, 0.99, 0.99, 1]","[0.001, 1.9, 3.8, 5.4, 5.9, 6.4, 7, 7.9, 9.8, 11.7, 13.6, 15.5, 16.6, 18.8, 21.5, 26.2, 27.8]",nan
80,CAT_785,Mina_3#Regiao_1,AMP. BARNABE,CONT,"[0, 0.17, 0.34, 0.51, 0.69, 0.8, 1]","[0.001, 11.4, 12.8, 15.6, 18.2, 23.1, 61.1]",nan
81,CAT_785,Mina_2#Regiao_1,MARES 1,CONT,"[0, 0.02, 0.05, 0.2, 0.36, 0.51, 0.66, 0.81, 0.94, 0.97, 0.98, 0.99, 0.99, 0.99, 0.99, 0.99, 1]","[0.001, 1.9, 3.8, 5.4, 5.9, 6.4, 7, 7.9, 9.8, 11.7, 13.6, 15.5, 16.6, 18.8, 21.5, 26.2, 27.8]",nan
82,CAT_785,Mina_3#Regiao_1,MARES 1,CONT,"[0, 0.17, 0.34, 0.51, 0.69, 0.8, 1]","[0.001, 11.4, 12.8, 15.6, 18.2, 23.1, 61.1]",nan
83,CAT_785,Mina_2#Regiao_1,PONTO_3,CONT,"[0, 0.02, 0.05, 0.2, 0.36, 0.51, 0.66, 0.81, 0.94, 0.97, 0.98, 0.99, 0.99, 0.99, 0.99, 0.99, 1]","[0.001, 1.9, 3.8, 5.4, 5.9, 6.4, 7, 7.9, 9.8, 11.7, 13.6, 15.5, 16.6, 18.8, 21.5, 26.2, 27.8]",nan
84,CAT_785,Mina_3#Regiao_1,PONTO_3,CONT,"[0, 0.17, 0.34, 0.51, 0.69, 0.8, 1]","[0.001, 11.4, 12.8, 15.6, 18.2, 23.1, 61.1]",nan
85,CAT_775,Mina_2#Regiao_1,BRIT_PRIM,CONT,"[0, 0.03, 0.18, 0.33, 0.48, 0.63, 0.79, 0.94, 0.97, 0.98, 0.99, 0.99, 0.99, 1]","[0.001, 3.9, 7.7, 9.2, 9.9, 10.8, 12, 15.4, 19.3, 23, 26.8, 30, 34.7, 55.2]",nan
86,CAT_775,Mina_3#Regiao_1,BRIT_PRIM,CONT,"[0, 0.13, 0.23, 0.38, 0.54, 0.69, 0.73, 0.79, 1]","[0.001, 2.3, 8.8, 9.9, 12.1, 14.5, 17.4, 23, 28.6]",nan
87,CAT_775,Mina_2#Regiao_1,BRIT_SECO,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.77, 0.92, 0.99, 1]","[0.001, 6.6, 7.2, 7.8, 8.3, 9.1, 11.1, 22.7, 173.4]",nan
88,CAT_775,Mina_3#Regiao_1,BRIT_SECO,CONT,"[0, 0.17, 0.33, 0.39, 0.56, 1]","[0.001, 7.3, 8.9, 19.7, 25, 28.6]",nan
89,CAT_775,Mina_2#Regiao_1,BARNABE,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.77, 0.92, 0.99, 1]","[0.001, 6.6, 7.2, 7.8, 8.3, 9.1, 11.1, 22.7, 173.4]",nan
90,CAT_775,Mina_3#Regiao_1,BARNABE,CONT,"[0, 0.05, 0.19, 0.38, 0.57, 1]","[0.001, 1.4, 10.2, 11.3, 14.3, 14.4]",nan
91,CAT_775,Mina_2#Regiao_1,AMP. BARNABE,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.77, 0.92, 0.99, 1]","[0.001, 6.6, 7.2, 7.8, 8.3, 9.1, 11.1, 22.7, 173.4]",nan
92,CAT_775,Mina_3#Regiao_1,AMP. BARNABE,CONT,"[0, 0.05, 0.19, 0.38, 0.57, 1]","[0.001, 1.4, 10.2, 11.3, 14.3, 14.4]",nan
93,CAT_775,Mina_2#Regiao_1,MARES 1,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.77, 0.92, 0.99, 1]","[0.001, 6.6, 7.2, 7.8, 8.3, 9.1, 11.1, 22.7, 173.4]",nan
94,CAT_775,Mina_3#Regiao_1,MARES 1,CONT,"[0, 0.05, 0.19, 0.38, 0.57, 1]","[0.001, 1.4, 10.2, 11.3, 14.3, 14.4]",nan
95,CAT_775,Mina_2#Regiao_1,PONTO_3,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.77, 0.92, 0.99, 1]","[0.001, 6.6, 7.2, 7.8, 8.3, 9.1, 11.1, 22.7, 173.4]",nan
96,CAT_775,Mina_3#Regiao_1,PONTO_3,CONT,"[0, 0.05, 0.19, 0.38, 0.57, 1]","[0.001, 1.4, 10.2, 11.3, 14.3, 14.4]",nan
97,CAT_785,Mina_1#Regiao_1,DEP_ROM,CONT,"[0, 0.15, 0.3, 0.46, 0.61, 0.76, 0.91, 0.98, 0.99, 0.99, 0.99, 0.99, 1]","[0.001, 4, 5.4, 5.9, 6.5, 7.2, 9, 14.2, 18.2, 24.2, 26.1, 31.8, 72.4]",nan
98,CAT_785,Mina_1#Regiao_2,DEP_ROM,CONT,"[0, 0.15, 0.3, 0.46, 0.61, 0.76, 0.91, 0.98, 0.99, 0.99, 0.99, 0.99, 1]","[0.001, 4, 5.4, 5.9, 6.5, 7.2, 9, 14.2, 18.2, 24.2, 26.1, 31.8, 72.4]",nan
99,CAT_785,Mina_1#Regiao_3,DEP_ROM,NORM,8.69,0.4345,nan
100,CAT_785,Mina_1#Regiao_4,DEP_ROM,NORM,9.4,0.47,nan
101,CAT_785,Mina_1#Regiao_5,DEP_ROM,CONT,"[0, 0.05, 0.1, 0.17, 0.32, 0.49, 0.56, 0.73, 1]","[0.001, 6, 7.1, 8.8, 9.6, 10.3, 10.8, 11.4, 12.1]",nan
102,CAT_785,Mina_1#Regiao_6,DEP_ROM,NORM,23.255,1.16275,nan
103,CAT_775,Mina_1#Regiao_1,DEP_ROM,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.77, 0.92, 0.99, 0.99, 1]","[0.001, 5.3, 6.2, 6.7, 7.2, 8, 9.7, 20.7, 30.6, 166.4]",nan
104,CAT_775,Mina_1#Regiao_2,DEP_ROM,CONT,"[0, 0.15, 0.31, 0.46, 0.61, 0.77, 0.92, 0.99, 0.99, 1]","[0.001, 5.3, 6.2, 6.7, 7.2, 8, 9.7, 20.7, 30.6, 166.4]",nan
105,CAT_775,Mina_1#Regiao_3,DEP_ROM,NORM,7.905,0.39525,nan
106,CAT_775,Mina_1#Regiao_4,DEP_ROM,NORM,8.86,0.443,nan
107,CAT_775,Mina_1#Regiao_5,DEP_ROM,CONT,"[0, 0.04, 0.19, 0.34, 0.5, 0.65, 0.8, 0.95, 0.98, 0.99, 0.99, 0.99, 0.99, 1]","[0.001, 4.1, 7.8, 8.7, 9.3, 9.9, 10.8, 13.4, 17.3, 21, 25.6, 27.8, 32.9, 58.5]",nan
108,CAT_775,Mina_1#Regiao_6,DEP_ROM,NORM,21.37,1.0685,nan
109,CAT_785,Mina_2#Regiao_1,DEP_ROM,CONT,"[0, 0.15, 0.3, 0.45, 0.61, 0.76, 0.91, 0.99, 0.99, 0.99, 1]","[0.001, 5.1, 8.8, 9.6, 10.3, 11.2, 13.3, 26, 36.2, 49.7, 181.7]",nan
110,CAT_785,Mina_3#Regiao_1,DEP_ROM,CONT,"[0, 0.03, 0.17, 0.33, 0.48, 0.64, 0.79, 0.93, 0.94, 1]","[0.001, 2.8, 8.6, 9.6, 10.1, 10.8, 11.7, 14.7, 18.1, 49.8]",nan
111,CAT_775,Mina_2#Regiao_1,DEP_ROM,CONT,"[0, 0.03, 0.18, 0.33, 0.48, 0.63, 0.79, 0.94, 0.97, 0.98, 0.99, 0.99, 0.99, 1]","[0.001, 3.9, 7.7, 9.2, 9.9, 10.8, 12, 15.4, 19.3, 23, 26.8, 30, 34.7, 55.2]",nan
112,CAT_775,Mina_3#Regiao_1,DEP_ROM,CONT,"[0, 0.13, 0.23, 0.38, 0.54, 0.69, 0.73, 0.79, 1]","[0.001, 2.3, 8.8, 9.9, 12.1, 14.5, 17.4, 23, 28.6]",nan
